name,category,heading_font,body_font,heading_weight,body_weight,mood,line_height,letter_spacing,scale_ratio,best_for,google_fonts_url
Editorial Luxury,Serif + Sans,Cormorant Garamond,Lato,300,400,bespoke premium elegant refined,1.2 / 1.7,-0.02em / 0.01em,1.333 (Perfect Fourth),high-fashion e-commerce luxury services abaya modest-fashion,https://fonts.google.com/share?selection.family=Cormorant+Garamond|Lato
Tech Elite,Display + Sans,Space Grotesk,Inter,700,400,cutting-edge authoritative stark,1.1 / 1.6,-0.03em / 0em,1.25 (Major Third),business consulting high-end web dev AI platforms,https://fonts.google.com/share?selection.family=Space+Grotesk|Inter
Cinematic Immersive,Sans + Sans,Montserrat,Source Sans 3,800,400,dramatic spacious bold,1.1 / 1.65,-0.04em / 0em,1.414 (Augmented Fourth),OTT platforms media rich applications streaming,https://fonts.google.com/share?selection.family=Montserrat|Source+Sans+3
Neo-Minimalist,Sans + Sans,Syne,DM Sans,600,400,avant-garde clean structured,1.15 / 1.6,-0.02em / 0em,1.2 (Minor Third),B2C apps modern branding startups,https://fonts.google.com/share?selection.family=DM+Sans|Syne
Swiss Precision,Sans + Sans,Helvetica Neue / Inter,Inter,700,400,systematic disciplined functional,1.15 / 1.6,-0.01em / 0em,1.25 (Major Third),SaaS dashboards fintech enterprise tools,https://fonts.google.com/share?selection.family=Inter
Warm Humanist,Rounded + Sans,Nunito,Open Sans,700,400,friendly approachable trustworthy,1.2 / 1.7,0em / 0.01em,1.2 (Minor Third),healthcare edtech non-profit community platforms,https://fonts.google.com/share?selection.family=Nunito|Open+Sans
Architectural,Sans + Serif,Bebas Neue,Libre Baskerville,400,400,structural monumental dramatic,1.0 / 1.75,-0.05em / 0em,1.618 (Golden Ratio),architecture real-estate interior-design portfolios,https://fonts.google.com/share?selection.family=Bebas+Neue|Libre+Baskerville
Japanese Zen,Sans + Sans,Zen Kaku Gothic New,Noto Sans JP,500,300,calm minimalist contemplative,1.3 / 1.8,0.05em / 0.02em,1.2 (Minor Third),Japanese minimalist wellness meditation,https://fonts.google.com/share?selection.family=Zen+Kaku+Gothic+New|Noto+Sans+JP
Arabic Elegance,Serif + Sans,Amiri,Tajawal,700,400,regal ornate cultural heritage,1.4 / 1.8,0.02em / 0.01em,1.333 (Perfect Fourth),Arabic luxury brands abaya modest-fashion events,https://fonts.google.com/share?selection.family=Amiri|Tajawal
Modern Arabic,Sans + Sans,Cairo,IBM Plex Sans Arabic,700,400,contemporary bilingual professional,1.3 / 1.7,0em / 0em,1.25 (Major Third),bilingual SaaS Arabic e-commerce government portals,https://fonts.google.com/share?selection.family=Cairo|IBM+Plex+Sans+Arabic
Futurist Mono,Mono + Sans,JetBrains Mono,Inter,700,400,technical cyberpunk coded,1.1 / 1.6,-0.03em / 0em,1.25 (Major Third),AI/ML platforms dev tools crypto dashboards,https://fonts.google.com/share?selection.family=JetBrains+Mono|Inter
Bold Statement,Display + Sans,Outfit,Plus Jakarta Sans,900,400,impactful modern energetic,1.05 / 1.6,-0.04em / 0em,1.414 (Augmented Fourth),gaming esports social platforms event marketing,https://fonts.google.com/share?selection.family=Outfit|Plus+Jakarta+Sans
Organic Warmth,Serif + Sans,Playfair Display,Raleway,700,300,sophisticated warm timeless,1.2 / 1.7,-0.01em / 0.02em,1.333 (Perfect Fourth),wedding events food hospitality photography,https://fonts.google.com/share?selection.family=Playfair+Display|Raleway
Legal Authority,Serif + Serif,Libre Baskerville,Source Serif 4,700,400,authoritative traditional trustworthy,1.25 / 1.75,0em / 0.01em,1.2 (Minor Third),legal professional government financial services,https://fonts.google.com/share?selection.family=Libre+Baskerville|Source+Serif+4
Startup Fresh,Sans + Sans,General Sans / Plus Jakarta Sans,Plus Jakarta Sans,600,400,modern optimistic approachable,1.15 / 1.6,-0.02em / 0em,1.25 (Major Third),startups SaaS mobile apps landing pages,https://fonts.google.com/share?selection.family=Plus+Jakarta+Sans
