product_type,recommended_style,color_mood,typography_mood,key_effects,layout_pattern,anti_patterns,severity,accessibility_note
Bespoke E-Commerce,Editorial Brutalism + Dark Luxe,Monochrome + Warm Gold,Elegant editorial serif,Smooth parallax scroll reveals; image zoom on hover,Asymmetric feature grid with full-bleed imagery,Standard card grids with drop shadows; generic product carousels,HIGH,Ensure gold text meets 4.5:1 contrast on dark backgrounds
Cinematic OTT Experience,Premium Glassmorphism,OLED Black + Vibrant Accent,Spacious dramatic sans,Fade-in transitions and hover expansion; backdrop blur layers,Bento grid hero with glass overlay cards,Autoplaying audio or cluttered carousels; bright UI that ruins immersion,HIGH,Provide solid fallback for backdrop-filter unsupported browsers
Premium Business Consulting,Antigravity UI + Swiss Grid,High-trust slate + crisp white,Authoritative and stark,Subtle floating hover states; staggered section reveals,Clean 12-col grid with floating cards,Using generic vector illustrations or stock photos; parallax overuse,HIGH,Ensure floating elements remain keyboard-navigable
Luxury B2C Services,Organic Minimalism,Deep natural tones + crisp white,Refined and grounded,Staggered fade-in on scroll; subtle texture overlays,Editorial long-scroll with section reveals,Overwhelming the user with forms before establishing trust,MEDIUM,Use sufficient contrast for earth-tone text on off-white
SaaS Dashboard,Swiss Grid + Bento Grid,Professional blue + neutral slate,Systematic functional sans,Smooth data transitions; skeleton loading states,Dense 12-col layout with collapsible sidebar,Cramming too many widgets above the fold; no empty states,HIGH,All interactive charts must be keyboard accessible
SaaS Landing Page,Aurora UI + Bento Grid,Gradient primary + clean white sections,Modern approachable sans,Aurora hero background; feature bento grid; scroll animations,Hero -> Bento Features -> Social Proof -> Pricing -> CTA,Wall of text features; no visual hierarchy; generic screenshots,HIGH,Ensure gradient text has solid fallback color
Healthcare/MedTech,Swiss Grid + Antigravity UI,Calming teal + trustworthy white,Warm humanist rounded sans,Gentle fade transitions; no jarring movements,Clean card-based layout with clear navigation,Aggressive CTAs; dark mode defaults; complex animations,HIGH,WCAG AAA compliance recommended; support screen readers
EdTech/Learning Platform,Bento Grid + Neomorphism 2.0,Vibrant purple + energetic accents,Friendly rounded sans,Playful micro-interactions; progress animations,Dashboard with card grid and progress widgets,Information overload on landing; no clear learning path,MEDIUM,Support dyslexia-friendly font toggle; color-blind safe charts
AI/ML Platform,Mesh Gradient + Glassmorphism,Deep purple + cyan accents on dark,Futurist mono + clean sans,Particle effects in hero; typing animations; glow accents,Dark hero with glass panels; terminal-style elements,Overusing AI cliches (robot imagery); too much jargon upfront,HIGH,Ensure animated backgrounds respect prefers-reduced-motion
Real Estate (Luxury),Dark Luxe + Editorial Brutalism,Deep navy + warm gold accents,Architectural display + serif body,Smooth image transitions; map interactions; parallax,Full-bleed property imagery with overlay details,Small thumbnail galleries; cluttered listing grids; pop-up forms,HIGH,Provide alt text for all property images; ensure map is accessible
Travel/Hospitality,Liquid Design + Aurora UI,Ocean blue + sunset warm accents,Clean approachable sans,Destination image parallax; booking flow animations,Immersive imagery hero -> search -> curated picks,Auto-rotating carousels; tiny CTA buttons; hidden pricing,MEDIUM,Ensure booking forms are fully keyboard accessible
Food/Restaurant,Organic Minimalism + Kinetic Typography,Warm earth + appetizing accent,Organic serif heading + clean body,Menu reveal animations; food imagery zoom,Hero with signature dish -> menu sections -> reservation CTA,Low-quality food photos; overcrowded menus; auto-playing music,HIGH,Menu must be available as accessible text not just images
Fitness/Wellness,Aurora UI + Antigravity UI,Energetic teal + vibrant pink accents,Bold modern sans,Motivational stat counters; before/after sliders,Bold hero with stats -> programs grid -> testimonials -> join CTA,Stock gym photos; aggressive countdown timers; information overload,MEDIUM,Ensure high contrast for text over gradient backgrounds
Fintech/Crypto,Swiss Grid + Glassmorphism,Indigo + cyan on dark slate,Tech elite mono accents,Real-time data animations; sparkline transitions,Dashboard with KPI row -> chart grid -> transactions table,Overwhelming with data; no clear hierarchy; tiny fonts on charts,HIGH,All financial data must be accessible to screen readers
Gaming/Esports,Retro Futurism + Bento Grid,Neon purple + electric green on black,Bold display + mono accents,Glow effects; particle animations; score counters,Immersive dark hero -> feature bento -> leaderboard -> CTA,Eye-strain neon overuse; auto-playing audio; cluttered HUDs,MEDIUM,Support prefers-reduced-motion; ensure neon text is readable
Abaya/Modest Fashion,Dark Luxe + Organic Minimalism,Rich black + warm gold + off-white,Arabic Elegance serif + clean sans,Subtle fabric texture hover; elegant image transitions,Full-bleed lookbook hero -> collection grid -> craftsmanship story -> shop CTA,Western fashion tropes; overly aggressive discounting; cluttered grids,HIGH,Support RTL layout; ensure Arabic/English text is equally readable
Arabic Luxury Brand,Editorial Brutalism + Dark Luxe,Pure black + heritage gold,Arabic calligraphic display + modern Arabic body,Calligraphy animation reveals; parallax storytelling,Immersive brand story -> heritage section -> collection -> bespoke inquiry,Ignoring RTL design patterns; using Latin-only typography; generic layouts,HIGH,Full RTL support; bidirectional text handling; cultural sensitivity in imagery
