chart_type,best_for,library,color_strategy,animation,anti_patterns,severity,accessibility,implementation_tip
Bar Chart,Comparing categories or discrete values (max 8-10 bars),Recharts or Chart.js,Use primary palette with muted secondary fills; highlight one bar with CTA color,Staggered entrance from bottom with 50ms delay per bar,Using 3D effects or too many colors; not sorting bars by value,HIGH,Include aria-label on each bar; provide data table fallback,Use horizontal bars when labels are long; always start y-axis at 0
Grouped Bar Chart,Side-by-side comparison of 2-3 categories across groups,Recharts or D3,Use primary/secondary/accent from palette; ensure distinguishable without color,Groups fade in sequentially left to right,Comparing more than 3 series per group; inconsistent bar widths,MEDIUM,Use patterns/textures alongside color for color-blind users,Limit to 2-3 series; add direct labels instead of relying on legend
Stacked Bar Chart,Part-to-whole composition across categories,Recharts or D3,Sequential shades of single hue from light to dark,Stack builds up from bottom per bar,Using too many stack segments (max 4-5); misleading proportions,MEDIUM,Provide percentage tooltips; include data table,Consider 100% stacked for proportion comparison
Line Chart,Trends over time or continuous data (max 3-4 lines),Recharts or D3,Single accent color with light fill area beneath; use dashes for secondary lines,Draw-on animation left to right with 800ms duration,Plotting too many lines without legend clarity; dual y-axes,MEDIUM,Announce trend direction to screen readers; provide data points,Use monotone curve type for smooth lines; add reference lines for targets
Area Chart,Volume or magnitude over time showing cumulative effect,Recharts,Gradient fill from primary at 0.3 opacity to transparent; single area preferred,Fade-in from baseline with smooth wipe,Stacking too many areas making bottom layers unreadable; opaque fills,MEDIUM,Provide data table; describe trend in aria-label,Use single area charts; if stacking limit to 3 with high transparency
Donut Chart,Part-to-whole relationships (max 5 segments) with center stat,Recharts or Nivo,Sequential shades of primary color; highlight largest segment,Spin-in with counter animation in center showing total/key metric,Using pie charts with more than 5 segments; 3D pie charts; exploded segments,HIGH,Include percentage labels on each segment; provide text alternative,Always show a center label (total/title); order segments largest to smallest
Sparkline,Inline trend indicator within tables or KPI cards,Custom SVG or Recharts,Single color matching the KPI context (green for growth / red for decline),Subtle draw-on from left 400ms,Making sparklines too large (they're meant to be inline); adding axes,LOW,Include aria-label describing the trend direction,Keep height 20-40px; no labels/axes/gridlines; pair with numeric value
KPI Card,Single metric with trend indicator and comparison,Custom component,Primary for positive trend; error color for negative; muted for neutral,Count-up number animation with 600ms duration; trend arrow slide-in,Showing raw numbers without context or comparison; too many decimal places,MEDIUM,Use aria-live region for real-time KPI updates,Always show comparison (vs last period / vs target); include trend arrow and percentage
Heatmap,Density or correlation matrices; calendar activity; geographic data,D3 or Nivo,Sequential single-hue gradient (light to dark); avoid rainbow scales,Cell-by-cell fade-in with 20ms delay; hover highlights row and column,Using diverging color scales for non-diverging data; rainbow gradients,HIGH,Provide tooltip with exact value; include legend scale,Use 5-7 color steps; always include a legend; add row/column headers
Scatter Plot,Correlation between two variables; outlier detection,D3 or Recharts,Categorical colors for groups; size encoding for third variable; muted grid,Points fade in with slight random delay for organic feel,Overcrowding points without opacity; missing axis labels; no trend line,MEDIUM,Include trend description in accessible text; tooltip per point,Use opacity 0.6 for overlapping points; add trend line; consider log scale for skewed data
Radar/Spider Chart,Multi-dimensional comparison of 2-3 items (max 6-8 axes),Recharts or D3,Semi-transparent fill with solid border per item; use primary/secondary,Shape draws in from center with 600ms ease-out,Comparing more than 3 items; using more than 8 axes; no labels,HIGH,Not recommended for screen readers — always provide data table alternative,Normalize all axes to same scale; provide clear axis labels
Treemap,Hierarchical part-to-whole with nested categories,D3 or Nivo,Sequential shades within each parent category; distinct hues between parents,Rectangles grow from center with staggered delay,Too many small rectangles; text that doesn't fit; poor color distinction,MEDIUM,Provide hierarchical data table; breadcrumb navigation for drill-down,Minimum rectangle size for readability; show labels only if they fit; enable drill-down
Funnel Chart,Conversion pipeline or sequential drop-off stages,Custom SVG or Nivo,Gradient from primary (top) to muted (bottom); highlight drop-off stages,Stages slide in from left sequentially with percentage counter,More than 7 stages; not showing drop-off percentages; 3D funnels,MEDIUM,Label each stage with name and value; provide text summary,Always show conversion rate between stages; highlight biggest drop-off
Gauge/Meter,Single value against a target or range (KPIs/scores),Custom SVG,Green/yellow/red zones or primary color fill against muted track,Needle sweep or fill animation from 0 to value with overshoot ease,Using full 360-degree gauges; too many on one page; tiny labels,LOW,Use aria-valuenow/min/max attributes; include text value,Use 180-degree half gauge; show numeric value prominently; max 3-4 per dashboard row
Sankey Diagram,Flow relationships between categories; budget allocation; user journey,D3 or Nivo,Source category colors flowing with gradient into target colors,Links animate with flow direction 1200ms,Too many nodes making it unreadable; crossed links; no labels,HIGH,Complex — always provide simplified table or summary,Limit to 15-20 nodes max; highlight paths on hover; show flow values
Timeline Chart,Chronological events or milestones; project schedules; history,Custom component or D3,Alternating primary/secondary for events; accent for key milestones,Events fade in as user scrolls; connection line draws between points,Overcrowding events; inconsistent time scale; missing dates,MEDIUM,Use semantic time elements; linear reading order,Group events by period; allow zoom for dense timelines; highlight current position
