pattern_name,section_order,cta_placement,color_strategy,effects,conversion_tips,best_for,mobile_strategy
Premium Service Pitch,Immersive Hero -> Philosophy/Methodology -> Bespoke Solutions -> Case Studies -> Refined CTA -> FAQ,Floating action button after scroll depth 30%; secondary CTA in nav,Dark mode hero transitioning to clean light mode sections,Text reveal on scroll; parallax case study images,Sell the methodology and exclusivity before showing any service tiers; use client logos as trust signals,Consulting agencies professional services,Stack sections vertically; sticky CTA bar at bottom
Luxury Product Showcase,Cinematic Video Hero -> Asymmetric Feature Grid -> Craftsmanship Details -> Editorial Story -> Buy/Inquire,Sticky bottom bar on mobile; inline after craftsmanship section,Strict monochrome allowing product imagery to pop,Image scaling on scroll; hover zoom on products,Use massive high-res imagery; hide secondary details behind sleek accordions; one product per viewport on mobile,Fashion luxury goods watches jewelry abaya,Full-bleed images; swipe gallery; bottom sheet for details
SaaS Conversion Machine,Aurora Hero with CTA -> Logo Bar -> Bento Feature Grid -> How It Works -> Pricing -> Testimonials -> Final CTA,Primary CTA in hero and final section; pricing page CTA in each tier,Gradient hero transitioning to white; accent color for CTAs only,Feature cards animate in on scroll; pricing toggle animation,Show ROI or time-saved stats in hero; keep pricing visible (no contact us); reduce form fields to minimum,SaaS B2B tools productivity apps,Collapse bento to single column; hamburger nav; persistent bottom CTA
App Launch Hype,Full-screen Device Mockup Hero -> Problem/Solution -> Feature Highlights -> Social Proof -> Download CTA -> Press Mentions,Hero CTA + floating download button after fold; app store badges,Dark or bold background with app screenshots providing color,3D device rotation; parallax app screens; counter stats,Show the app in action immediately; lead with the transformation not the tool; app store ratings as trust,Mobile apps consumer products,Phone mockup fills screen; gesture-hint animations; app store deep links
Portfolio/Agency,Kinetic Typography Hero -> Selected Work Grid -> Process/About -> Testimonials -> Contact,Contact CTA visible after 2 projects; floating email button,Monochrome with single accent; let project imagery provide color,Project thumbnails expand on hover; smooth page transitions; text animations,Lead with your best 3-4 projects; show process not just results; include specific metrics/outcomes,Creative agencies freelancers studios,Horizontal scroll for projects on mobile; swipe interactions
Event/Conference,Countdown Hero -> Speakers Grid -> Schedule Timeline -> Venue/Map -> Ticket CTA -> Sponsor Logos,Sticky ticket CTA in header; prominent after speaker and schedule sections,Bold primary color for urgency; dark hero with event photography,Countdown timer animation; speaker card flip on hover; schedule timeline,Create urgency with early-bird pricing; show speaker credentials prominently; social proof from past events,Conferences summits workshops meetups,Single-column schedule; collapsible day sections; mobile wallet ticket
Newsletter/Waitlist,Bold Statement Hero -> Value Proposition (3 bullets) -> Social Proof Count -> Single Email Input -> Thank You,Single inline form in hero; that's it — one page one action,Minimal — two colors max; bold typography carries the weight,Typing animation in input placeholder; success confetti; subscriber count,Radical simplicity; one form field (email only); show subscriber count; promise specific value not generic updates,Newsletters indie products waitlists,Form fills viewport; virtual keyboard aware input positioning
E-commerce Collection,Lookbook Hero -> Filter/Sort Bar -> Product Grid -> Editorial Break -> More Products -> Newsletter CTA,Add to cart on hover; sticky filter bar; cart icon with count,Neutral backgrounds letting product photography dominate,Quick-view modal; image swap on hover; smooth filter transitions,High-quality consistent photography; show lifestyle and detail shots; keep filters minimal and relevant,Retail fashion beauty home goods,Bottom navigation; pull-to-refresh; infinite scroll with loading skeleton
Real Estate Showcase,Aerial Video Hero -> Search/Filter Bar -> Featured Listings -> Neighborhood Guide -> Virtual Tour CTA -> Agent Contact,Search bar in hero; floating contact agent button; tour CTA on each listing,Sophisticated dark header with warm interior photography contrast,Map integration; smooth image gallery transitions; 360 tour embed,Lead with the lifestyle not the listing; show neighborhood amenities; virtual tour as differentiator,Real estate property luxury rentals,Map-first mobile view; swipe listing cards; click-to-call agent
SaaS Dashboard Onboarding,Welcome Modal -> Empty State with CTA -> Guided Tour Tooltips -> Sample Data -> First Success Moment,Progressive CTAs guiding through setup; celebrate first completion,Brand primary for active elements; muted for incomplete; green for success,Progress bar animation; tooltip spotlight; confetti on completion,Reduce time-to-value; pre-fill sample data; celebrate micro-achievements; never show an empty screen,SaaS products tools platforms,Step-by-step wizard; bottom sheet tooltips; haptic feedback on completion
