category,rule,do_pattern,do_code,dont_pattern,dont_code,severity,wcag_level
Animation,Custom Easing,Use cubic-bezier for sophisticated motion curves that feel natural,"transition: all 0.6s cubic-bezier(0.22, 1, 0.36, 1);",Use standard linear or ease-in-out which feel mechanical,transition: all 0.3s ease;,HIGH,
Animation,Reduced Motion,Always respect prefers-reduced-motion for users with vestibular disorders,"@media (prefers-reduced-motion: reduce) { *, *::before, *::after { animation-duration: 0.01ms !important; transition-duration: 0.01ms !important; } }",Ignore motion preferences forcing animations on all users,,HIGH,AAA
Animation,Entrance Choreography,Stagger child element animations for a polished sequential reveal,"& > * { animation: fadeUp 0.5s ease both; } & > *:nth-child(2) { animation-delay: 0.1s; } & > *:nth-child(3) { animation-delay: 0.2s; }",Animate all elements simultaneously creating a flash of content,animation: fadeIn 0.3s ease;,MEDIUM,
Animation,Duration Guidelines,Keep micro-interactions 100-300ms and page transitions 300-600ms,"transition: transform 0.2s cubic-bezier(0.34, 1.56, 0.64, 1);",Use animations longer than 1s for functional UI elements or shorter than 100ms which feel instant,transition: all 2s ease;,HIGH,
Typography,Optical Margins,Hang punctuation outside the text block for perfect visual alignment,text-indent: -0.5em; hanging-punctuation: first last;,Leave quotes and bullets misaligned with the text edge,,MEDIUM,
Typography,Fluid Type Scale,"Use clamp() for responsive typography that scales smoothly between breakpoints","font-size: clamp(1rem, 0.5rem + 2vw, 2rem);",Use fixed font sizes with media query jumps,font-size: 16px; @media (min-width: 768px) { font-size: 24px; },HIGH,
Typography,Line Length,Keep body text between 45-75 characters per line for optimal readability,max-width: 65ch;,Allow text to span the full viewport width on large screens,width: 100%;,HIGH,AA
Typography,Vertical Rhythm,Align all spacing to a baseline grid (4px or 8px) for visual harmony,"margin-bottom: calc(var(--baseline) * 3); /* 24px on 8px grid */",Use arbitrary spacing values that break visual rhythm,margin-bottom: 17px;,MEDIUM,
Typography,Font Loading,Use font-display swap and preload critical fonts to prevent FOIT,"@font-face { font-display: swap; } <link rel=""preload"" href=""font.woff2"" as=""font"" crossorigin>",Let fonts block rendering causing invisible text flashes,,HIGH,
Interaction,Micro-interactions,Provide subtle tactile feedback on all interactive elements,"transform: scale(0.98); opacity: 0.9; transition: all 0.15s ease;",Static buttons that only change cursor on hover,,HIGH,
Interaction,Touch Targets,Minimum 44x44px touch targets with adequate spacing between interactive elements,"min-width: 44px; min-height: 44px; padding: 12px 24px;",Small clickable areas that cause misclicks on mobile,padding: 4px 8px; font-size: 12px;,HIGH,AA
Interaction,Focus Indicators,Visible focus ring for keyboard navigation that doesn't rely on color alone,"&:focus-visible { outline: 2px solid var(--primary); outline-offset: 2px; border-radius: 4px; }",Removing default focus styles without replacement,outline: none;,HIGH,AA
Interaction,Loading States,Show skeleton screens instead of spinners; maintain layout during loading,".skeleton { background: linear-gradient(90deg, #f0f0f0 25%, #e0e0e0 50%, #f0f0f0 75%); background-size: 200% 100%; animation: shimmer 1.5s infinite; }",Using generic spinners that provide no layout context,<div class=""spinner""></div>,MEDIUM,
